Дата,Время,Функция,Username,Status_code
2025-11-01,09:10:19,check_session,anonymus,
2025-11-01,09:10:19,get_register_page,anonymus,200
2025-11-01,09:10:20,check_session,anonymus,
2025-11-01,09:10:20,check_session,anonymus,
2025-11-01,09:10:20,check_session,anonymus,
2025-11-01,09:10:20,get_register_page,anonymus,200
2025-11-01,09:10:28,check_session,anonymus,
2025-11-01,09:10:28,get_login_page,anonymus,200
2025-11-01,09:10:28,check_session,anonymus,
2025-11-01,09:10:28,check_session,anonymus,
2025-11-01,09:10:28,get_register_page,anonymus,200
2025-11-01,09:10:38,check_session,anonymus,
2025-11-01,09:10:38,login,anonymus,302
2025-11-01,09:10:38,check_session,admin,
2025-11-01,09:10:38,get_home_page,admin,200
2025-11-01,09:10:38,check_session,admin,
2025-11-01,09:10:38,not_found_page,admin,307
2025-11-01,09:10:38,check_session,admin,
2025-11-01,09:10:38,get_404_page,admin,200
2025-11-01,09:10:43,check_session,admin,
2025-11-01,09:10:43,get_admin_page,admin,200
2025-11-01,09:10:43,check_session,admin,
2025-11-01,09:10:43,not_found_page,admin,307
2025-11-01,09:10:43,check_session,admin,
2025-11-01,09:10:43,get_404_page,admin,200
2025-11-01,09:11:00,check_session,admin,
2025-11-01,09:11:00,get_home_page,admin,200
2025-11-01,09:11:00,check_session,admin,
2025-11-01,09:11:00,not_found_page,admin,307
2025-11-01,09:11:00,check_session,admin,
2025-11-01,09:11:00,get_404_page,admin,200
2025-11-01,09:11:02,check_session,admin,
2025-11-01,09:11:02,logout,admin,200
2025-11-01,09:11:02,check_session,anonymus,
2025-11-01,09:11:02,check_session,anonymus,
2025-11-01,09:11:02,get_register_page,anonymus,200
2025-11-01,09:11:31,check_session,anonymus,
2025-11-01,09:11:31,login,anonymus,302
2025-11-01,09:11:31,check_session,admin,
2025-11-01,09:11:31,get_home_page,admin,200
2025-11-01,09:11:31,check_session,admin,
2025-11-01,09:12:03,check_session,admin,
2025-11-01,09:12:03,get_admin_page,admin,200
2025-11-01,09:12:06,check_session,admin,
2025-11-01,09:12:06,get_home_page,admin,200
2025-11-01,09:12:09,check_session,admin,
2025-11-01,09:12:09,logout,admin,200
2025-11-01,09:13:00,check_session,anonymus,
2025-11-01,09:13:00,login,anonymus,302
